cores,rts,tr,users,replica,util,mem
1.0,0.24265375570433573,22.31372643678161,51.0,4,0.6088156014665638,0
1.0,0.245788072649859,23.724137931034484,53.0,5,0.6275657840095852,0
1.0,0.24815861291549113,24.96551724137931,55.0,5,0.7157708890674567,0
1.0,0.25057283871783365,26.20689655172414,56.0,6,0.7965308103172337,0
1.0,0.2495931504079474,27.724137931034484,58.0,6,0.8377431378811498,0
1.0,0.2396878611248581,29.20689655172414,60.0,6,0.9232870667706586,0
1.0,0.23030762219485426,30.724137931034484,61.0,7,1.005057909848906,0
1.0,0.22143894889838686,32.13793103448276,63.0,7,1.1520561480501679,0
1.0,0.21315534274231274,33.689655172413794,65.0,8,1.1497275433995646,0
1.0,0.2002161432786829,36.82758620689655,68.0,8,1.3369033996243096,0
1.0,0.19377237426710534,38.3448275862069,70.0,8,1.439754147480611,0
1.0,0.1886189298272476,39.93103448275862,71.0,9,1.5351081099190582,0
1.0,0.18348687147843118,41.44827586206897,73.0,9,1.6841931112262714,0
1.0,0.1783367748952291,43.0,75.0,10,1.699133140893358,0
1.0,0.17340034108622812,44.55172413793103,76.0,10,1.8249482321396462,0
1.0,0.16861734622556712,46.06896551724138,78.0,10,1.9885958739466574,0
1.0,0.16434243060937245,47.758620689655174,80.0,11,2.122104585133912,0
1.0,0.16132955107005714,49.51724137931034,81.0,12,2.183596752152017,0
1.0,0.1579604582108686,51.310344827586206,83.0,12,2.3612087467926592,0
1.0,0.15512243306530163,53.10344827586207,85.0,13,2.3038917756526116,0
1.0,0.1526838754315848,54.93103448275862,86.0,12,2.5644797708021936,0
1.0,0.150714897296884,56.82758620689655,88.0,13,2.6766799801846957,0
1.0,0.14814703984539546,58.62068965517241,90.0,14,2.6342896845492847,0
1.0,0.14618593635478483,60.41379310344828,91.0,13,2.8102880781623214,0
1.0,0.14465826829749934,62.172413793103445,93.0,14,2.858657823427823,0
1.0,0.14314666200110965,63.79310344827586,95.0,14,2.971951382543306,0
1.0,0.14117122284244504,67.55172413793103,98.0,15,3.1131222596730885,0
1.0,0.13955118310359255,69.3103448275862,99.0,15,3.1069592279625455,0
1.0,0.13827006962260122,70.93103448275862,100.0,15,3.1795903670554515,0
1.0,0.13669009416708067,72.6551724137931,100.0,15,3.2257275981871607,0
1.0,0.13544095606132212,74.3103448275862,100.0,15,3.291425668248515,0
1.0,0.1341841670915363,75.62068965517241,100.0,15,3.4288266924134643,0
1.0,0.13283532965629083,76.89655172413794,100.0,15,3.386894699838885,0
1.0,0.13261487826669555,78.10344827586206,100.0,15,3.599231493424746,0
1.0,0.13201491816137118,79.3103448275862,100.0,15,3.475310304841846,0
1.0,0.13164516705739107,80.37931034482759,100.0,14,3.613591634258902,0
1.0,0.13119295928054944,81.21529813428975,100.0,15,3.72886533362205,0
1.0,0.1303520141837467,82.17241379310344,100.0,15,3.7308867433094766,0
1.0,0.13010434981244315,83.06896551724138,100.0,15,3.7777021701760614,0
1.0,0.12957110630657404,84.03448275862068,100.0,15,3.82973516755674,0
1.0,0.12895363067184634,84.89655172413794,100.0,15,3.830523846220594,0
1.0,0.12658618437753583,86.44827586206897,100.0,15,3.834973306346957,0
1.0,0.12752816258952457,87.06896551724138,100.0,15,3.8321131904093213,0
1.0,0.12637630640186653,87.6551724137931,100.0,15,3.9156105071357428,0
1.0,0.12474899974932514,88.20689655172414,100.0,15,3.844327905971989,0
1.0,0.12335894990609206,88.75862068965517,100.0,14,3.853989489814975,0
1.0,0.12137045954283286,89.27586206896551,100.0,14,3.9168597219723424,0
1.0,0.11892203429457665,89.6896551724138,100.0,15,3.989423132550588,0
1.0,0.11650762289471214,90.0,100.0,15,3.941889612681816,0
1.0,0.11479603804778404,90.20689655172414,100.0,14,3.967785922071103,0
1.0,0.1115864769103109,90.51724137931035,100.0,15,3.7654761128620313,0
1.0,0.1097077696256926,90.86206896551724,100.0,14,4.017554453722123,0
1.0,0.10713184255682587,91.06896551724138,100.0,15,3.9547894753776256,0
1.0,0.10461934027032249,91.27586206896551,100.0,14,4.021195414783953,0
1.0,0.10329239316559607,91.3103448275862,100.0,15,3.949151575165782,0
1.0,0.0989857012220421,91.34482758620689,100.0,14,3.9648789034569862,0
