cores,rts,tr,users,replica,util,mem
1.0,0.08019882307596812,82.6551724137931,74.0,10,3.4161106768339904,0
1.0,0.07994127941034258,81.62068965517241,73.0,10,3.3509821061851772,0
1.0,0.07945843235569884,80.79310344827586,72.0,10,3.373865062679996,0
1.0,0.07913068807024164,79.9655172413793,71.0,10,3.2807899265196614,0
1.0,0.0787919473101923,79.20689655172414,70.0,10,3.243962006640602,0
1.0,0.07820280693624593,78.24137931034483,69.0,10,3.2283163251335365,0
1.0,0.07778792334174876,77.44827586206897,68.0,10,3.234997231802165,0
1.0,0.07743555236984712,76.6551724137931,67.0,10,3.140764962222703,0
1.0,0.07662997192182945,75.82758620689656,66.0,9,3.0648999894558138,0
1.0,0.0761957289667294,74.6896551724138,65.0,9,3.105649804741384,0
1.0,0.0759050402056291,73.79310344827586,64.0,9,3.0506498886343736,0
1.0,0.07545074012996165,72.79310344827586,63.0,9,3.032709894711193,0
1.0,0.07481641622406322,72.03448275862068,62.0,9,2.9978302464433195,0
1.0,0.07408678825828939,71.17241379310344,61.0,9,2.926596211337481,0
1.0,0.07340083742297919,70.34482758620689,60.0,9,2.8706779532795688,0
1.0,0.07302039747472726,69.44827586206897,59.0,8,2.853629015672721,0
1.0,0.07276483719230896,68.48275862068965,58.0,8,2.7654311898246764,0
1.0,0.0720482714950796,67.48275862068965,57.0,8,2.7842267215135603,0
1.0,0.07177716446234136,66.72413793103448,56.0,8,2.700365429700965,0
1.0,0.07108123537541129,65.86206896551724,55.0,8,2.6889203596299707,0
1.0,0.07077926872617948,65.03448275862068,54.0,8,2.6225971331512055,0
1.0,0.07013223243390625,64.13793103448276,53.0,7,2.6184826751999535,0
1.0,0.06978886200803777,63.137931034482754,52.0,7,2.5213335456826402,0
1.0,0.06934350355596733,62.275862068965516,51.0,7,2.470492891484363,0
1.0,0.06870893220482813,61.241379310344826,50.0,7,2.467781793837018,0
1.0,0.06765766135663105,59.275862068965516,48.0,7,2.4295682591073624,0
1.0,0.06731492867517068,58.41379310344828,47.0,7,2.366000010444465,0
1.0,0.06682349461895634,57.37931034482759,46.0,7,2.3019885340845048,0
1.0,0.06649734985443413,56.44827586206897,45.0,6,2.316801959778826,0
1.0,0.06608421053650776,55.51724137931034,44.0,6,2.2094730287161237,0
1.0,0.06550644773872125,54.58620689655172,43.0,6,2.2110693551115697,0
1.0,0.06494718314732953,53.758620689655174,42.0,6,2.162095468513105,0
1.0,0.06446314812979849,52.758620689655174,41.0,6,2.1034251940986826,0
1.0,0.06382729141649691,51.86206896551724,40.0,6,2.0782638925648724,0
1.0,0.06345464680767333,50.9655172413793,39.0,6,2.0225683970324257,0
1.0,0.06291340836664798,50.0,38.0,5,1.994450221630906,0
1.0,0.062419466786770905,49.137931034482754,37.0,5,1.9696890910758362,0
1.0,0.062084982339041465,48.3448275862069,36.0,5,1.9560267020496147,0
1.0,0.06166792913864548,47.37931034482759,35.0,5,1.8725880798786692,0
1.0,0.06121403704385719,46.44827586206897,34.0,5,1.8532793625660031,0
1.0,0.060432142166375456,45.48275862068965,33.0,5,1.8290216362266274,0
1.0,0.06002562307719158,44.55172413793103,32.0,5,1.7891844804878791,0
1.0,0.05964418698716509,43.58620689655172,31.0,5,1.7339362216062064,0
1.0,0.05927984692661142,42.55172413793103,30.0,4,1.6898907978001845,0
1.0,0.0588738254827448,41.724137931034484,29.0,4,1.6670639012286101,0
1.0,0.05853111669849353,40.758620689655174,28.0,4,1.6142335988746712,0
1.0,0.05815807401882285,39.758620689655174,27.0,4,1.5841189546205414,0
1.0,0.057921280092682374,38.758620689655174,26.0,4,1.5427358026969165,0
1.0,0.05766998353289452,37.724137931034484,25.0,4,1.5015054046227303,0
1.0,0.05720266180759575,36.82758620689655,24.0,4,1.4849860361147265,0
1.0,0.05681833086134486,35.86206896551724,23.0,4,1.4011322958635057,0
1.0,0.05645711312668349,34.96551724137931,22.0,3,1.4009299068096295,0
1.0,0.056229906529634485,34.06896551724138,21.0,3,1.36337469259596,0
1.0,0.05604407229319415,33.13793103448276,20.0,3,1.298161771279709,0
1.0,0.05588862153232308,32.241379310344826,19.0,3,1.2895916080522736,0
1.0,0.055642274212057925,31.275862068965516,18.0,3,1.2367084177842078,0
1.0,0.05529154934447226,30.344827586206897,17.0,3,1.2004288315069753,0
1.0,0.05496958634811635,29.379310344827587,16.0,3,1.1823862220623842,0
1.0,0.05474560404024846,28.517241379310345,15.0,3,1.119819364093103,0
1.0,0.05422410039280262,26.620689655172413,13.0,2,1.0728079274765254,0
1.0,0.05400781165326892,25.620689655172413,12.0,2,1.044453073455594,0
1.0,0.05385470823523404,24.724137931034484,11.0,2,1.009143580408301,0
1.0,0.05372542385268166,23.724137931034484,10.0,2,0.9750355971127661,0
1.0,0.05355578967826058,22.75862068965517,9.0,2,0.933406587295853,0
1.0,0.053387678243268545,21.75862068965517,8.0,2,0.8911717180832799,0
1.0,0.053244580749347854,20.75862068965517,7.0,2,0.8722659822996067,0
1.0,0.05292259089322223,19.79310344827586,6.0,1,0.8191737494835193,0
1.0,0.05266182919401232,18.82758620689655,5.0,1,0.7782225324587263,0
1.0,0.05252481244893299,17.93103448275862,4.0,1,0.7513662808302821,0
1.0,0.05237588582606204,16.93103448275862,3.0,1,0.7125217222054022,0
1.0,0.05217758760442528,15.96551724137931,2.0,1,0.6658680902446578,0
1.0,0.05208441876567241,15.10344827586207,1.0,1,0.6411012524156724,0
1.0,0.05199206753127124,14.137931034482758,1.0,1,0.5955836244679075,0
1.0,0.05191259096796588,13.310344827586206,1.0,1,0.5568174286031525,0
1.0,0.051837373101048495,12.448275862068966,1.0,1,0.5197895346229026,0
1.0,0.051728029874822265,11.620689655172413,1.0,1,0.48931888908113774,0
1.0,0.051591237031296124,10.793103448275861,1.0,1,0.4582464918029973,0
1.0,0.051538879935441775,9.96551724137931,1.0,1,0.42337201182798667,0
1.0,0.0514086377171998,9.206896551724137,1.0,1,0.39587592066786925,0
1.0,0.05130266436114053,8.482758620689655,1.0,1,0.36141015054671255,0
1.0,0.05121857126626709,7.793103448275862,1.0,1,0.3311539695194457,0
1.0,0.05114703179873617,7.1034482758620685,1.0,1,0.3093680114032704,0
1.0,0.05096563558862673,6.482758620689655,1.0,1,0.27100739998022894,0
1.0,0.05080919158494553,5.931034482758621,1.0,1,0.24601030267924867,0
1.0,0.05076970621201165,5.344827586206897,1.0,1,0.21959072528594142,0
1.0,0.05070363042769504,4.827586206896552,1.0,1,0.20808847487978804,0
1.0,0.05061069964576308,4.310344827586206,1.0,1,0.1823969226436848,0
1.0,0.05061734335618911,3.8275862068965516,1.0,1,0.17209199849180604,0
1.0,0.05053426223244914,3.413793103448276,1.0,1,0.14695411058326885,0
1.0,0.05044537427505987,3.0689655172413794,1.0,1,0.13077819242231328,0
1.0,0.0503279541014722,2.7241379310344827,1.0,1,0.11113793344680463,0
1.0,0.05020964077135595,2.413793103448276,1.0,1,0.10083255650200942,0
1.0,0.05001637173517055,2.103448275862069,1.0,1,0.08918128262603653,0
1.0,0.04992341875330274,1.8620689655172413,1.0,1,0.0798326721842012,0
1.0,0.0498246954998214,1.6206896551724137,1.0,1,0.07042365910620575,0
1.0,0.04975544748915393,1.4482758620689655,1.0,1,0.05957947806662782,0
1.0,0.04943000760190165,1.1379310344827587,1.0,1,0.05381023406259557,0
1.0,0.04939260931888877,1.0689655172413792,1.0,1,0.05018284617461501,0
1.0,0.04930775129021785,1.0,1.0,1,0.046610692058099965,0
1.0,0.04932853105034859,0.9310344827586207,1.0,1,0.045469885119024965,0
1.0,0.049304486859584856,0.9310344827586207,1.0,1,0.04511578612848399,0
1.0,0.049321148079217884,0.9310344827586207,1.0,1,0.0410818217808074,0
1.0,0.04935689629010892,0.9310344827586207,1.0,1,0.04468020777902265,0
1.0,0.0493213130203931,0.9310344827586207,1.0,1,0.04333661968679881,0
1.0,0.04935804332331906,0.9310344827586207,1.0,1,0.04218404508343869,0
1.0,0.04930174590984724,0.9310344827586207,1.0,1,0.04293133254192021,0
1.0,0.04932613719688561,0.9310344827586207,1.0,1,0.04288427596555792,0
1.0,0.04931244237597285,0.9310344827586207,1.0,1,0.04351041817392583,0
1.0,0.049473457677685066,0.9310344827586207,1.0,1,0.041592897930031215,0
1.0,0.04951859076965093,0.9655172413793103,1.0,1,0.04214703229298203,0
1.0,0.049583861911335354,0.9655172413793103,1.0,1,0.041778994867555284,0
1.0,0.04963446149300065,0.9655172413793103,1.0,1,0.04240652394090771,0
1.0,0.04964261300981691,0.9655172413793103,1.0,1,0.0424634892718956,0
1.0,0.049657582553693146,0.9655172413793103,1.0,1,0.04251626883358684,0
1.0,0.049811267567157196,0.9655172413793103,1.0,1,0.04229535118746796,0
1.0,0.05004396898696611,0.9655172413793103,1.0,1,0.04352905516895053,0
1.0,0.0501502530490873,0.9655172413793103,1.0,1,0.04223715863159415,0
1.0,0.050526762992040654,0.9655172413793103,1.0,1,0.04359051986671881,0
1.0,0.05119431257628741,0.9310344827586207,1.0,1,0.04260141150922899,0
1.0,0.051308833805335415,0.9310344827586207,1.0,1,0.04338791462751494,0
1.0,0.051507445151630714,0.9310344827586207,1.0,1,0.04354050014581541,0
1.0,0.05185941896666514,0.9310344827586207,1.0,1,0.04339429621562755,0
1.0,0.051935199578362796,0.9310344827586207,1.0,1,0.04480232473665083,0
1.0,0.05221315994774494,0.9310344827586207,1.0,1,0.04428167991578685,0
1.0,0.05287624824330643,0.9310344827586207,1.0,1,0.04365593477960518,0
1.0,0.05308386426186189,0.9310344827586207,1.0,1,0.04417078817215614,0
1.0,0.053279260246199556,0.9310344827586207,1.0,1,0.04439811380735421,0
1.0,0.05326291149180241,0.9310344827586207,1.0,1,0.043110235521087385,0
1.0,0.05335494570164501,0.9655172413793103,1.0,1,0.045421080157595724,0
1.0,0.05352636633896119,0.9655172413793103,1.0,1,0.04385325372285631,0
1.0,0.05362355885699798,0.9655172413793103,1.0,1,0.041535533251449104,0
1.0,0.05361122741071865,0.9655172413793103,1.0,1,0.04224355889014683,0
1.0,0.053561009428449324,0.9655172413793103,1.0,1,0.04037032913002212,0
1.0,0.05364536316067513,0.9655172413793103,1.0,1,0.04310324250485281,0
1.0,0.053672322249829964,0.9655172413793103,1.0,1,0.044756533400992955,0
1.0,0.053673084481748186,0.9655172413793103,1.0,1,0.04258438890671511,0
1.0,0.05365431957138103,0.9655172413793103,1.0,1,0.043788362288289945,0
1.0,0.0536633797818054,0.9310344827586207,1.0,1,0.043633372707059546,0
1.0,0.05371801319649551,0.9310344827586207,1.0,1,0.044002703461835734,0
1.0,0.053584790857192796,0.9310344827586207,1.0,1,0.04194105133444761,0
1.0,0.05362244291063689,0.9310344827586207,1.0,1,0.04367944276021396,0
1.0,0.0536119176784788,0.9310344827586207,1.0,1,0.04130141367024234,0
1.0,0.053689117053571475,0.9310344827586207,1.0,1,0.041851191946368445,0
1.0,0.05359640005346072,0.9310344827586207,1.0,1,0.04356475637465292,0
1.0,0.053624402767776955,0.9310344827586207,1.0,1,0.04343658773921512,0
1.0,0.05359151073207613,0.9310344827586207,1.0,1,0.04135045035736444,0
1.0,0.05368416416058608,0.9655172413793103,1.0,1,0.04264220262340327,0
1.0,0.053738565607220935,0.9655172413793103,1.0,1,0.04225917718125578,0
1.0,0.053749522732167467,0.9655172413793103,1.0,1,0.03875964814814821,0
1.0,0.05375947866066001,0.9655172413793103,1.0,1,0.04224662580911736,0
1.0,0.05394487503586528,0.9655172413793103,1.0,1,0.04157936335291104,0
1.0,0.05398323307131899,0.9655172413793103,1.0,1,0.04233934431892747,0
1.0,0.053960204607002585,0.9655172413793103,1.0,1,0.041323809279624014,0
1.0,0.05398519530327966,0.9655172413793103,1.0,1,0.04333741227915522,0
1.0,0.0539897356783123,0.9655172413793103,1.0,1,0.044037483173989506,0
1.0,0.05402079755315623,0.9655172413793103,1.0,1,0.043097452090592354,0
1.0,0.054044115581200466,0.9310344827586207,1.0,1,0.04222055542205909,0
1.0,0.05406976964228047,0.9310344827586207,1.0,1,0.04253350390706033,0
1.0,0.053908853088484775,0.9310344827586207,1.0,1,0.043649441390317754,0
1.0,0.053391723784963166,0.9310344827586207,1.0,1,0.04213913242922908,0
1.0,0.05339892712436267,0.9310344827586207,1.0,1,0.043610083914094655,0
1.0,0.05346894548165437,0.9310344827586207,1.0,1,0.04262762677628567,0
1.0,0.053485119642313554,0.9310344827586207,1.0,1,0.04240070065644025,0
1.0,0.05344977562448808,0.9310344827586207,1.0,1,0.04288698580533005,0
1.0,0.0534857646421837,0.9310344827586207,1.0,1,0.043894013351518386,0
1.0,0.0535028383746976,0.9310344827586207,1.0,1,0.04362031605824328,0
1.0,0.05356041417819922,0.9655172413793103,1.0,1,0.043116595599522564,0
1.0,0.053583431499646395,0.9655172413793103,1.0,1,0.04176746626317893,0
1.0,0.053609294392507376,0.9655172413793103,1.0,1,0.041696143818741725,0
1.0,0.0536469904639359,0.9655172413793103,1.0,1,0.04130991530825992,0
1.0,0.05368705010680839,0.9655172413793103,1.0,1,0.04186512723509036,0
1.0,0.05371094348187658,0.9655172413793103,1.0,1,0.04287621043503419,0
1.0,0.05363724910681153,0.9655172413793103,1.0,1,0.04368697841230431,0
1.0,0.05368448348209703,0.9655172413793103,1.0,1,0.04143897801249679,0
1.0,0.053752800392820585,0.9655172413793103,1.0,1,0.04446896774657009,0
1.0,0.05375465325460854,0.9310344827586207,1.0,1,0.042677882550910866,0
1.0,0.053703995696715925,0.9310344827586207,1.0,1,0.04353888463920155,0
1.0,0.05385989562533463,0.9310344827586207,1.0,1,0.04350566010264648,0
