cores,rts,tr,users,replica,ready_replica,util,mem
1.0,0.07359238643877887,71.82758620689656,100.0,13,13,3.279093249603885,0
1.0,0.07405334049399641,73.20689655172414,100.0,13,13,3.312838361958128,0
1.0,0.07496726507808195,74.55172413793103,100.0,12,13,3.457421705842819,0
1.0,0.074844558151963,77.27586206896552,100.0,12,13,3.3453225754235647,0
1.0,0.07647048636701834,78.24137931034483,100.0,11,13,3.4676049961709436,0
1.0,0.07706047162967837,79.3103448275862,100.0,10,13,3.4833715237606815,0
1.0,0.07749991381768691,80.34482758620689,100.0,9,13,3.6429494700100946,0
1.0,0.07773575972346865,81.55172413793103,100.0,9,13,3.6639312326801803,0
1.0,0.0782343040690952,82.55172413793103,100.0,9,13,3.6269627047845656,0
1.0,0.07855894313317371,83.55172413793103,100.0,9,12,3.7211813322472436,0
1.0,0.07929553959446105,84.27586206896552,100.0,9,12,3.74321759795744,0
1.0,0.07967282784195409,84.82758620689656,100.0,9,12,3.7393321524589163,0
1.0,0.08088513859214039,85.58620689655173,100.0,9,12,3.703568467743023,0
1.0,0.08160900458899557,86.17241379310344,100.0,9,12,3.7430264670322737,0
1.0,0.08311018804296219,87.34482758620689,100.0,8,12,3.761794093421015,0
1.0,0.08387711585284492,88.06896551724138,100.0,8,12,3.7678393806574273,0
1.0,0.08442249427835116,88.41379310344827,100.0,8,11,3.7114596612250113,0
1.0,0.08472702264047109,88.82758620689656,100.0,8,10,3.877135259336971,0
1.0,0.08564133158502397,89.6896551724138,100.0,8,9,3.8897497317186014,0
1.0,0.08695091380311816,89.6551724137931,100.0,8,9,3.8847283767388867,0
1.0,0.08723278907673081,89.62068965517241,100.0,8,9,3.889480565737796,0
1.0,0.08803522066720398,89.89655172413794,100.0,8,9,3.887424633089673,0
1.0,0.08895053817226341,90.37931034482759,100.0,8,9,3.7395181653319485,0
1.0,0.08949055669946934,90.41379310344827,100.0,8,9,3.8019912448794604,0
1.0,0.09041867992633996,90.79310344827586,100.0,8,9,3.8262715862178376,0
1.0,0.0909803170264813,90.75862068965517,100.0,8,9,3.83356515568889,0
1.0,0.09127033185139931,90.6551724137931,100.0,8,8,3.861261733633392,0
1.0,0.09215616036599038,90.86206896551724,100.0,8,8,3.8810697986404183,0
1.0,0.09257754246782086,90.75862068965517,100.0,8,8,3.8287780881350972,0
1.0,0.09276323782296161,90.62068965517241,100.0,8,8,3.7955641733974983,0
1.0,0.09341835597421742,90.6551724137931,100.0,8,8,3.8325512189771627,0
1.0,0.09395547617759831,90.75862068965517,100.0,8,8,3.7641833061652856,0
1.0,0.09454940798617281,90.58620689655173,100.0,8,8,3.7591555286497753,0
1.0,0.09539387958907315,90.51724137931035,100.0,8,8,3.7742560672612755,0
1.0,0.0954807476631178,90.37931034482759,100.0,8,8,3.842875772976008,0
1.0,0.09576895181538475,90.3103448275862,100.0,8,8,3.754520265814892,0
1.0,0.09595029705683172,90.62068965517241,100.0,8,8,3.8374425863320467,0
1.0,0.09611682098797365,90.6551724137931,100.0,8,8,3.790620946343134,0
1.0,0.09660924704011463,90.75862068965517,100.0,8,8,3.7977646668080904,0
1.0,0.09709247035948566,90.58620689655173,100.0,8,8,3.746684510907189,0
1.0,0.09758205392912224,90.93103448275862,100.0,8,8,3.769308925235198,0
1.0,0.09793577721583398,90.75862068965517,100.0,8,8,3.7677351173283538,0
1.0,0.09807515021707976,90.58620689655173,100.0,8,8,3.701293041216852,0
1.0,0.09844892019428482,91.03448275862068,100.0,8,8,3.7854184192669558,0
1.0,0.09856352127446237,90.9655172413793,100.0,8,8,3.7260524251023077,0
1.0,0.0985276331324446,91.10344827586206,100.0,8,8,3.826422593954414,0
1.0,0.09803209153151107,91.24137931034483,100.0,8,8,3.777397239207355,0
1.0,0.098000308651735,91.24137931034483,100.0,8,8,3.815184279968354,0
1.0,0.09758709905459967,91.3103448275862,100.0,8,8,3.8376731633124024,0
1.0,0.09765187749280278,91.27586206896551,100.0,8,8,3.810932738244727,0
1.0,0.09750266180200572,91.17241379310344,100.0,8,8,3.8189556676109286,0
1.0,0.0971939680948976,91.06896551724138,100.0,8,8,3.8073805947378268,0
1.0,0.09723627346691396,91.24137931034483,100.0,8,8,3.7856354578268125,0
1.0,0.09723018326814369,91.37931034482759,100.0,8,8,3.8458401642578206,0
1.0,0.09641528729501347,91.44827586206897,98.0,8,8,3.6912819407798767,0
1.0,0.09622223443113097,91.58620689655173,97.0,8,8,3.7012653124911874,0
1.0,0.0958618079839849,91.34482758620689,96.0,8,8,3.7561144778269218,0
1.0,0.09554984404600092,91.34482758620689,95.0,7,8,3.7842520015628747,0
1.0,0.09530648960879466,91.44827586206897,94.0,6,8,3.8517640657193506,0
1.0,0.09517866991568884,91.17241379310344,93.0,6,8,3.8229715789674388,0
1.0,0.09509620480183564,90.75862068965517,92.0,6,8,3.762650201313369,0
1.0,0.09498967471365112,90.6551724137931,91.0,6,8,3.812750801035357,0
1.0,0.09465490388551678,90.44827586206897,90.0,5,8,3.7298256219736956,0
1.0,0.09465044678366488,90.03448275862068,89.0,5,8,3.7640714901768977,0
1.0,0.09417001745204527,89.75862068965517,88.0,5,8,3.724175975263498,0
1.0,0.093915164060987,89.24137931034483,87.0,5,8,3.7201049066812764,0
1.0,0.0930233484606793,89.17241379310344,86.0,5,8,3.676008317101414,0
